# 52x52.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2026.01.24
# S1=70278
# S2=126664382
# S3=256827858768
# S4=555467267610554

0,1639,2298,2064,2145,2034,174,113,455,320,987,1965,358,1331,488,1437,2129,1131,2631,500,1176,1221,785,1168,2335,1456,1247,368,1535,1918,1482,1527,2203,72,1572,574,1266,2215,1372,2345,738,1716,2383,2248,2590,2529,669,558,639,405,1064,2703,
885,1947,1342,1237,590,1132,2510,1056,2013,2373,26,2447,1836,2065,514,2334,2421,2586,2236,1253,1167,1746,1690,829,69,2169,534,2634,1874,1013,957,1536,1450,467,117,282,369,2189,638,867,256,2677,330,690,1647,193,1571,2113,1466,1361,756,1818,
2495,2393,2614,1284,1699,1347,1923,2137,940,393,1641,2226,139,1471,933,2364,2005,192,1938,1573,2247,635,1555,2127,1825,2700,3,878,576,1148,2068,456,1130,765,2511,698,339,1770,1232,2564,477,1062,2310,1763,566,780,1356,1004,1419,89,310,208,
562,1335,2114,1519,99,2353,2533,2424,2455,1229,2296,1413,2014,644,968,2686,1007,839,827,112,1808,2281,1604,1070,1934,2216,487,769,1633,1099,422,895,2591,1876,1864,1696,17,1735,2059,689,1290,407,1474,248,279,170,350,2604,1184,589,1368,2141,
1813,1095,482,2254,227,1831,1299,1890,287,2519,1329,753,378,1182,641,146,2637,1206,28,327,954,1678,2085,1076,2147,696,2007,556,1627,618,1025,1749,2376,2675,1497,66,2557,2062,1521,2325,1950,1374,184,2416,813,1404,872,2476,449,2221,1608,890,
763,19,1475,815,583,2444,2208,2002,1732,1098,1171,334,1629,136,442,1300,2305,886,1039,2432,1295,197,60,833,2045,533,2170,658,1870,2643,2506,1408,271,1664,1817,398,1403,2261,2567,1074,2369,1532,1605,971,701,495,259,2120,1888,1228,2684,1940,
1393,502,49,2477,1540,1006,1080,2593,1894,1790,2099,2027,84,347,1748,1096,1486,1927,2263,1256,292,541,2043,876,379,2546,157,2324,1827,660,2162,2411,1447,440,776,1217,1607,955,2356,2619,676,604,913,809,110,1623,1697,1163,226,2654,2201,1310,
1963,243,922,1345,1905,2250,2384,2429,2548,2080,546,90,1024,2530,1236,1977,1868,1511,1761,1560,1656,642,1438,373,9,2214,489,2694,2330,1265,2061,1047,1143,942,1192,835,726,1467,173,1679,2613,2157,623,155,274,319,453,798,1358,1781,2460,740,
371,1624,2171,1860,2207,1283,1100,1150,2355,2668,2531,959,70,610,2549,2245,1961,661,209,802,711,1385,1774,1023,275,1235,1468,2428,1680,929,1318,1992,1901,2494,2042,742,458,154,2093,2633,1744,172,35,348,1553,1603,1420,496,843,532,1079,2332,
1972,820,2374,2561,1297,2464,2269,1118,1630,2536,628,1666,303,56,36,709,1145,952,859,516,551,2321,1351,603,907,1198,1505,1796,2100,1352,382,2152,2187,1844,1751,1558,1994,2667,2647,2400,1037,2075,167,1073,1585,434,239,1406,142,329,1883,731,
1756,678,527,1863,206,2588,2487,1539,452,1214,665,2391,1635,1008,101,1279,609,12,389,1872,1591,2398,480,1346,777,921,1782,1926,1357,2223,305,1112,831,2314,2691,2094,1424,2602,1695,1068,312,2038,1489,2251,1164,216,115,2497,840,2176,2025,947,
