# 64x64.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.27
# S1=131040
# S2=357782880
# S3=1098974822400
# S4=3600681036554784

0,2527,1208,2234,3050,3859,794,2992,878,3520,1403,3785,2293,485,2835,2065,2422,606,2359,2810,726,2157,2437,3176,3679,74,3135,654,357,185,2594,1457,2638,1501,3910,3738,3441,960,4021,416,919,1658,1938,3369,1285,1736,3489,1673,2030,1260,3610,1802,310,2692,575,3217,1103,3301,236,1045,1861,2887,1568,4095,
1305,2056,1121,241,1532,1347,3018,2376,3233,3078,1936,3280,2007,2076,749,3923,38,3554,463,1617,336,3297,4050,3342,2907,2340,3651,2535,1277,3778,587,1326,2769,3508,317,2818,1560,444,1755,1188,753,45,798,3759,2478,3632,541,4057,172,3346,2019,2088,815,2159,1017,862,1719,1077,2748,2563,3854,2974,2039,2790,
3929,3459,835,2046,1247,2181,1452,2956,1396,637,1620,2806,1704,1992,288,1049,1634,387,439,951,3648,3922,2732,2444,1263,915,3189,4010,1845,4041,3339,512,3583,756,54,2250,85,906,3180,2832,1651,1363,173,447,3144,3656,3708,2461,3046,3807,2103,2391,1289,2475,3458,2699,1139,2643,1914,2848,2049,3260,636,166,
1657,3850,3869,2896,58,2022,4038,582,801,561,2388,3091,1674,3216,258,2924,660,969,3383,2215,2198,2601,1059,2733,3635,2526,297,1956,1310,1154,3671,1489,2606,424,2941,2785,2139,3798,1569,460,1362,3036,1494,1897,1880,712,3126,3435,1171,3837,879,2421,1004,1707,3534,3294,3513,57,2073,4037,1199,226,245,2438,
2170,510,1590,3314,3119,2272,1031,1679,3907,2965,1372,92,3195,2480,3788,3475,718,2717,316,2916,1838,3985,2604,529,682,2163,2631,3676,3996,1750,2863,3155,940,1232,2345,99,419,1464,1932,3413,3566,1491,110,2257,1179,3779,1378,3377,620,307,1615,900,4003,2723,1130,188,2416,3064,1823,976,781,2505,3585,1925,
3192,883,1233,3816,3384,3897,2689,1774,772,3265,1538,3558,2067,1993,2115,2697,2799,55,2986,2677,678,150,2349,477,744,1229,3027,2201,2457,3589,22,3680,415,4073,506,1638,1894,1068,2866,3351,3618,1746,3945,3417,1418,1109,4040,1296,1398,1980,2102,2028,537,2557,830,3323,2321,1406,198,711,279,2862,3212,903,
3828,2185,482,3541,3595,1874,4013,3427,2044,912,2486,2566,1892,3864,301,1024,3472,2317,2168,2572,276,1067,3088,2750,1513,534,533,1215,2070,873,101,2888,1207,3994,3222,2025,2880,3562,3561,2582,1345,1007,3028,3819,1523,1927,1778,623,3071,3794,231,2203,1529,1609,3183,2051,668,82,2221,500,554,3613,1910,267,
1270,1327,3235,159,1066,332,2802,2904,1870,2489,893,2571,379,721,1579,3712,2364,3547,2192,3142,3102,410,76,84,2266,586,1941,3905,3466,1732,2999,2593,1502,1096,2363,629,190,2154,3509,1829,4011,4019,3685,993,953,1903,548,1731,383,2516,3374,3716,1524,3202,1606,2225,1191,1293,3763,3029,3936,860,2768,2825,
795,337,3600,663,2187,3204,1173,3252,2997,1428,3382,2328,2285,2546,2951,438,2424,4061,2009,1486,4086,254,1945,3528,1680,3713,2729,922,1128,3424,147,2687,1408,3948,671,2967,3173,1366,382,2415,567,2150,3841,9,2609,2086,34,1671,3657,1144,1549,1810,1767,713,2667,1098,843,2922,891,1908,3432,495,3758,3300,
1392,446,3428,2935,1535,3776,1616,3199,71,3221,2977,2169,3376,771,1302,2417,19,3525,1235,3128,2236,3750,508,3881,632,3941,1584,1069,2644,1762,1827,2083,2012,2268,2333,1451,3026,2511,154,3463,214,3587,345,1859,967,2860,570,4076,1678,2793,3324,719,1926,1118,874,4024,896,2479,319,2560,1160,667,3649,2703,
3997,2347,2041,3507,2788,362,1476,1996,1739,243,2003,3074,68,1201,385,1222,645,3471,1988,3002,1550,2657,3215,509,2791,3408,1626,805,3767,4029,2978,872,3223,1117,66,328,3290,2469,687,1304,3586,880,1438,2545,1093,2107,624,3450,2873,3710,2894,4027,1021,2092,3852,2356,2099,2619,3733,1307,588,2054,1748,98,
3412,131,448,411,725,60,1585,1934,2487,2245,1480,892,817,527,109,3505,1192,2080,2845,268,2319,376,3059,1443,2735,1341,2211,2966,3148,985,1676,3873,222,2419,3110,947,1129,1884,2754,1360,2652,1036,3719,1776,3827,1250,2015,2903,590,3986,3568,3278,3203,2615,1850,1608,2161,2510,4035,3370,3684,3647,3964,683,
313,255,479,3262,3390,2989,413,3034,3302,2755,4074,3099,563,1374,3182,1792,3717,1730,136,69,1702,1997,1895,2939,617,1583,1937,1271,3403,2562,1618,1421,2674,2477,1533,692,2824,2158,2512,3478,1156,2200,2098,2393,4026,3959,2365,378,2303,913,2721,3532,996,21,1340,793,1061,3682,1106,705,833,3616,3840,3782,
3531,2291,1728,1806,235,861,578,165,4051,3694,897,2286,676,1085,3352,2685,1083,3594,1147,2599,1737,2592,1186,1803,3109,4036,364,2649,822,2532,1665,3811,284,2430,1563,3273,1446,3731,59,986,2292,2909,1503,2358,1496,2948,501,3012,1410,743,3010,3419,1809,3198,401,44,3930,3517,3234,3860,2289,2367,1804,564,
898,2208,1226,2836,2120,3999,593,3970,1313,2004,3467,2763,3238,535,3980,498,3879,1763,2194,3058,3335,3661,2962,2579,263,1386,3179,277,3113,1713,2536,1622,2473,1559,2382,982,3818,916,2709,3832,1516,1133,434,760,1037,1901,2332,216,3597,115,3560,857,1332,628,2091,2782,125,3502,96,1975,1259,2869,1887,3197,
144,1020,2465,224,2281,927,3805,809,3400,192,1138,3687,259,1231,3536,2911,1905,1652,925,1507,592,2368,1841,2778,2564,480,23,1030,1370,3446,1915,2492,1603,2180,649,2725,3065,4072,3615,1531,1317,2254,1727,3503,2588,3170,2443,2190,1184,559,2864,3836,408,2957,3903,695,3286,290,3168,1814,3871,1630,3075,3951,
2434,591,1714,2665,2669,1001,954,393,2680,1032,272,3957,1813,2288,1816,3127,3024,2584,1706,3919,3277,2890,724,1832,650,3673,1574,219,1255,64,3791,3582,513,304,4031,2840,3876,2521,422,3445,2263,3371,1205,818,176,2389,1511,1071,968,2279,1807,2282,138,3823,3063,1415,3702,3141,3094,1426,1430,2381,3504,1661,
3145,1490,1973,102,2823,3019,3693,605,1780,3229,3824,2369,4058,1543,1352,3309,2216,2244,1427,3097,3886,1297,2453,1200,3913,3556,493,1089,3337,338,2079,3442,653,2016,3757,758,3006,3602,539,182,2895,1642,2798,209,998,2668,1851,1879,786,2743,2552,37,1726,271,866,2315,3490,402,1076,1272,3993,2122,2605,950,
3210,977,609,1375,1724,1536,3161,2196,3367,3730,1509,662,1782,1074,1209,504,3942,221,2084,3696,779,1662,108,3538,3814,2673,1216,2988,1815,4075,1299,2143,1952,2796,20,2280,1107,2879,1422,281,557,3987,2433,3316,399,2011,3874,153,3591,2886,3021,2313,3433,2586,365,728,1899,934,2559,2371,2720,3486,3118,885,
595,1288,389,2900,2047,3849,2308,3139,3810,3096,804,2251,2558,128,699,1493,2432,2852,2226,2971,3241,1063,2384,3580,3737,3350,2751,1981,53,459,1456,3989,106,2639,3636,4042,2114,1344,745,358,515,1711,3032,854,1124,1869,1243,1663,2602,3396,3967,1537,1844,3291,999,285,956,1787,246,2048,1195,3706,2807,3500,
3373,778,2776,2104,949,2324,1857,3786,1445,1120,3106,844,489,70,3916,1028,1384,2612,2898,1275,2488,3769,3884,433,2162,571,584,1586,2406,3402,4060,1812,2283,35,693,1689,2509,3511,3524,1933,3662,211,326,1607,2820,1197,1483,2711,3067,179,4025,3606,3251,989,2975,2650,309,2238,1771,3146,1991,1319,3317,722,
3422,1123,476,1545,1852,3292,2934,1015,2189,3944,1079,3739,1656,17,1433,233,2105,727,3703,1333,566,577,3799,1348,2576,2360,3978,3237,1958,1224,1722,3165,930,2373,2871,2137,858,117,1735,1519,2747,296,3518,3529,2762,392,3368,1990,3862,2662,4078,2439,356,3016,151,1906,3080,1161,803,2243,2550,3619,2972,673,
1325,3040,3159,670,2623,755,3510,1783,2468,262,3641,1828,3076,2710,853,3975,417,1886,2938,215,3740,1137,2856,1940,2002,1459,1562,2398,3557,177,808,4068,27,3287,3918,538,1697,2533,2636,2093,2155,1239,2958,355,3880,1157,2209,3678,120,3242,1385,1019,2267,454,3833,1627,2312,585,3340,1472,3425,936,1055,2770,
2153,1025,2573,2738,1312,3911,10,2413,1871,1143,664,943,770,213,583,2354,1633,565,114,3806,2278,3688,1203,341,847,1444,1575,483,764,2031,2847,1009,3086,1248,2064,3331,3612,2520,2651,3248,3754,2892,407,1817,289,3981,3530,2462,1741,3512,3882,3325,3152,3431,2952,2224,1682,4085,184,2783,1357,1522,3070,1942,
1875,4067,3751,1994,2946,1330,3867,3906,2830,2603,2451,600,3839,2330,783,1012,864,4005,941,1042,642,1695,1555,3674,1158,1839,1983,730,486,2660,2742,573,3522,1353,1435,3609,3365,2112,2256,2937,421,2540,2400,3453,3053,3154,90,3231,3083,3312,1765,256,3495,1644,1492,1265,189,228,2765,1149,2101,344,28,2220,
2849,1688,1589,3123,696,767,2554,3699,3319,1217,1314,3946,2998,2414,1351,920,3372,1400,3659,73,3781,3151,581,3961,1091,2223,3998,2240,315,1877,2645,2217,1878,1450,2218,3780,1855,97,1872,3004,134,3514,944,314,4022,436,2695,723,3175,2744,1681,1097,149,2781,2878,776,396,1541,3328,3399,972,2506,2407,1246,
325,2006,3912,347,3855,1462,2029,1734,3124,1701,3285,1564,1303,562,491,4043,602,2827,1148,4033,3043,2753,825,1011,2134,331,2653,3468,1930,1628,752,2926,1169,3343,2467,2165,627,1442,3764,1961,3084,3270,1342,1052,62,2947,1268,3493,52,3604,3533,2792,2531,810,2394,971,2361,2066,2633,240,3748,183,2089,3770,
3623,3085,3247,3968,2145,2037,103,2013,2591,473,1769,3336,41,1142,320,1349,3264,3577,2923,3898,2343,1397,1565,1291,1223,2500,1949,3771,3268,3457,3009,3404,691,1086,638,827,324,2146,1595,2872,2804,2530,2698,1752,197,1172,518,831,2746,3775,2953,4054,759,2326,3622,1504,2082,3992,2058,1950,127,848,1010,472,
2052,1409,3460,1439,763,517,1653,403,923,1241,130,1789,1928,3784,3136,3484,806,2731,1204,2014,3899,1284,1183,3705,3130,3062,4080,2392,2556,1944,368,3894,201,3727,2151,1539,1703,15,1033,965,390,2912,2811,196,2081,2891,1364,3289,611,959,311,2167,2306,3965,2854,3172,3692,2442,3578,3332,2656,635,2686,2043,
1003,2450,1084,1005,1080,530,3825,3177,1946,1544,3721,1955,298,118,1256,3937,2693,1517,1721,1306,435,3844,3436,1909,4012,1790,690,1198,580,2718,1811,837,3258,2284,1377,3515,2897,3405,2305,83,2186,659,251,3660,2789,2374,2578,1402,158,2839,3977,3797,2140,374,2551,2149,918,270,3565,3015,3090,3011,1645,3092,
3279,4082,161,1134,596,2459,1008,1508,339,400,3178,1365,3983,3559,3227,2855,1469,3847,2539,2166,2338,1298,3637,1821,2227,748,2062,1717,2920,3042,665,302,3793,3430,1053,1175,2378,2033,3347,1868,2274,458,2797,1757,1929,1556,248,2626,1240,868,536,112,2730,917,3695,3756,2587,3087,1636,3499,2961,3934,13,816,
4090,2727,2519,3497,3969,1964,3549,1190,449,736,2287,2981,2222,2411,3927,3041,1244,914,342,997,3209,3443,2795,2630,261,821,1631,2050,3663,2574,253,1742,2353,3842,1521,432,2045,2464,3274,3834,1465,1300,652,886,3098,3753,3181,2851,1054,168,1684,1873,1114,1808,3359,3646,2905,546,2131,126,598,1576,1368,5,
202,2298,2111,823,1862,2423,3201,1380,589,3572,47,907,1040,3950,1534,2634,2447,2960,3348,1931,1267,287,451,3715,1174,3093,398,2814,2523,1747,679,116,3979,3416,2348,1572,1281,3697,1002,2921,380,3644,3808,2828,2164,747,1135,1648,1461,2561,145,3055,3188,4048,523,3506,2715,894,1672,2233,3272,1984,1797,3893,
430,3005,3149,1218,3714,360,2976,3429,2460,1623,2918,1954,3878,3747,2772,994,2362,1882,3938,1278,983,732,1023,1279,2297,2681,1976,252,3870,18,1749,3426,669,2346,4077,225,3843,2119,1414,1798,2816,3072,3363,3112,2817,157,2213,1733,3101,1323,348,217,2141,1177,2472,1635,666,1119,3735,381,2877,946,1090,3665,
957,1405,543,466,3857,3795,2235,3061,1140,2109,3219,2910,321,1745,167,4066,3104,1920,2648,1309,94,648,2567,1793,1228,1692,420,800,717,2499,2490,3474,621,1605,1596,3378,3295,3675,2403,2867,2302,1528,3447,4001,2786,1447,2175,991,29,3928,2350,3774,1185,876,1986,2955,1034,1860,300,238,3629,3552,2690,3138,
273,733,2237,1632,95,1947,1497,963,1273,105,2893,414,1026,2979,2188,1394,3640,3225,850,1338,2514,698,3726,519,1666,2207,2357,186,3519,1407,3971,962,3133,124,2688,576,3909,1738,1888,2429,3576,369,3397,1581,2757,3245,870,455,2701,1907,1116,3069,3681,1202,3990,2822,3132,2598,2148,4000,2463,1858,3362,3822,
2803,3588,208,4094,1842,3121,3976,1510,1060,3952,3485,716,2331,694,2035,568,3815,1371,1213,1092,1619,2831,1432,2425,2124,3720,1885,3655,3243,3310,2513,3194,901,1582,785,852,440,2210,375,1971,1670,2663,1264,2476,3003,2882,2724,280,3527,2060,3401,1764,3379,610,143,3035,2585,119,974,2253,1,3887,507,1292,
1082,2980,2387,3492,1006,3608,121,1359,2853,1417,701,4071,3772,3308,2323,863,1495,2246,2117,175,229,2024,3380,948,1647,3563,418,2756,2184,2549,1155,257,3838,2940,1546,1911,1339,3677,532,2448,3147,715,2071,3866,3920,1978,1849,2600,3232,1772,787,323,24,3394,2678,1242,2736,3974,487,3089,603,1708,1115,3013,
1381,3856,542,1455,431,2850,204,2260,8,2994,2466,1962,3107,3375,1848,1664,386,3464,3760,3755,2565,2193,1343,1062,855,3303,2507,3454,3105,2355,1164,87,4008,2931,1740,990,641,1588,792,3240,3033,2752,1902,1530,340,335,631,3709,2431,2247,720,988,2133,1629,1101,4087,1835,3891,1245,3664,2640,3553,239,2714,
