# 56x56.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.29
# S1=87780
# S2=183489460
# S3=431498390400
# S4=1082370525781468

0,155,2546,912,2748,1097,2828,1335,1549,556,459,2123,863,699,2316,1233,432,622,1764,1629,2396,2885,1147,999,2961,1434,1213,3028,107,1922,1701,174,2136,1988,250,739,1506,1371,2513,2703,1902,819,2436,2272,1012,2676,2579,1586,1800,307,2038,387,2223,589,2980,3135,
1555,1347,1692,530,2270,1024,59,1917,970,1670,643,2552,2827,1973,2198,244,1111,3087,1883,763,2724,130,2635,2939,1295,2330,2744,2462,673,391,805,1840,196,500,3005,411,2372,1252,48,2024,2891,937,1162,308,583,2492,1465,2165,1218,3076,2111,865,2605,1443,1788,1580,
1022,544,2459,2798,1377,4,1792,3026,1492,761,562,2807,1611,2471,2295,413,2923,836,940,2002,2025,961,3010,1286,1413,2879,488,1954,1181,2647,256,1722,1849,125,2174,1110,1133,2195,2299,212,2722,840,664,1524,328,2573,2374,1643,109,1343,3131,1758,337,676,2591,2113,
2046,310,1686,1134,425,866,2119,1854,3114,1953,1738,93,2502,371,461,3015,2145,559,2929,900,2420,1500,2883,1589,2303,2562,740,1805,1330,2395,573,832,1546,252,1635,715,2235,206,2576,990,120,2674,2764,633,3042,1397,1182,21,1281,1016,2269,2710,2001,1449,2825,1089,
2266,1023,275,1155,1376,1647,113,803,1071,981,3025,509,1323,1191,2379,671,3094,168,353,2415,1604,1863,468,2837,2554,1428,946,2712,423,2189,1707,581,298,2667,1272,1531,720,2782,2967,41,2464,756,1944,1812,2626,110,2154,2064,2332,3022,1488,1759,1980,2860,2112,869,
2384,1005,31,347,1154,1342,1282,1418,162,2220,861,2907,1598,815,654,3060,587,2040,297,216,1344,2733,1188,1470,475,725,1013,535,2600,2122,2410,2660,1665,1947,402,1791,2919,2838,1095,2548,75,2481,2320,1537,228,2274,915,2973,1717,1853,1793,1981,2788,3104,2130,751,
1926,1890,2412,1551,1808,2114,649,2865,1487,3027,2679,1998,1683,760,2799,1086,2214,3016,2242,791,1783,1002,2566,538,20,428,202,2829,306,2933,2707,3115,2597,569,2133,1352,2344,893,119,921,2049,336,2375,1452,1137,456,108,1648,270,2486,1021,1327,1584,723,1245,1209,
821,2118,2922,502,1432,2755,2022,578,1932,2004,1560,287,2477,1392,1869,420,710,3111,504,64,258,852,926,731,2146,1626,2986,1844,1291,149,1509,989,2404,2209,2283,2877,3071,2631,24,2425,2715,1266,1743,658,2848,1575,1131,1203,2557,1113,380,1703,2633,213,1017,2314,
1732,2643,927,2751,2499,1602,2311,2851,1236,1212,2460,1476,608,1797,395,3069,842,2368,181,2995,1961,51,1762,2129,2117,260,2592,2061,1074,543,2875,1018,1006,1373,3084,1174,140,2954,767,2293,66,2740,1338,2527,1659,675,1923,1899,284,824,1533,636,384,2208,492,1403,
528,2997,2539,3038,1007,457,1801,3133,1746,2832,1123,444,2204,1625,1450,2869,1183,1076,2488,2450,1277,2941,1015,736,2291,1556,829,382,2753,2306,1579,844,2399,2120,194,1858,685,647,2059,1952,266,1685,1510,931,2691,2012,303,1389,2,1334,2678,2128,97,596,138,2607,
1421,2697,1596,1857,1748,2914,2507,450,1641,3051,713,2911,2758,529,3117,945,872,294,2178,1803,2323,151,1185,753,2534,1984,1014,1090,2045,2121,1151,601,2382,1950,2984,812,1332,957,2841,2263,2190,18,2606,377,224,2422,84,1494,2685,628,221,1387,1278,1539,438,1714,
