# 47x47.Trimagic Square.
# Generated by Toshihiro Shirakawa in 2026.02.18
# S1=51888
# S2=76396432
# S3=126541133568

42,1721,368,552,298,1044,84,299,1884,1594,2048,303,1922,934,2035,1613,1232,1694,496,41,1706,994,1292,1194,841,1408,1132,1478,2091,2185,802,1992,703,1411,90,1603,938,897,360,869,2104,1511,586,453,728,1598,718,
778,101,646,448,1055,391,1378,1787,1812,193,678,2084,1642,1168,1420,74,628,987,1735,620,164,2188,791,1166,451,2100,357,1861,1115,201,1793,1362,1581,1179,1866,1385,805,174,212,1528,785,2169,1829,1667,1767,920,847,
2121,731,125,1171,839,2102,2029,547,1021,210,52,190,524,132,1475,1634,1843,1687,483,1492,695,2057,341,1006,612,1912,320,958,1718,1650,1719,254,1573,1236,763,2096,1904,602,1256,1161,351,1347,879,1722,538,1609,1201,
1877,1155,1625,129,1815,1219,825,283,754,1495,1549,1263,98,1,387,1013,735,2126,545,657,1977,1293,1286,940,110,1223,968,61,691,581,484,356,1717,956,1933,2106,1858,2053,2145,1010,1584,1069,1316,2119,1087,1181,233,
630,992,1951,1117,145,1298,1552,1059,590,1464,1341,1966,1266,1649,688,1449,1980,1704,2162,565,95,170,1269,1776,683,1230,1956,623,1016,373,1880,282,64,592,68,906,885,1964,616,894,1534,2114,909,820,1386,2199,16,
1234,2123,2069,1890,517,214,1619,1804,787,2026,1276,1832,667,255,872,1207,195,1716,1150,991,776,444,2045,158,1731,273,1521,143,835,1296,2030,1245,875,607,947,578,2115,88,1436,1158,1756,73,818,1287,337,1088,1784,
622,843,1789,1702,655,1482,224,1026,1539,314,1522,262,352,429,1679,824,1160,1971,2041,127,1399,1749,781,62,472,1313,1969,2060,474,1075,300,209,1733,532,1434,1561,227,1648,1458,642,1089,2193,661,2008,1060,2025,1191,
361,1034,469,2131,1419,1073,2056,333,1318,1686,1082,1357,2006,1839,11,2148,1575,865,243,898,1985,700,38,1391,33,1870,511,760,806,1660,1510,136,1330,2000,2073,500,1440,1569,482,1745,840,1025,297,1067,764,913,539,
236,1460,398,1903,1970,1283,2116,1447,359,1484,1246,1020,349,1565,714,665,1173,943,138,1600,2181,1397,2037,896,1798,443,1754,1012,1836,2092,663,2011,184,882,1540,1377,1443,561,1814,395,3,649,1033,14,493,884,427,
1632,1568,729,666,1931,1193,1077,284,1742,439,48,326,886,1948,1673,1531,2062,1049,520,2165,137,1489,1997,864,1655,508,928,49,364,582,1612,563,247,1452,2149,891,1744,1404,371,1778,1809,1331,575,1140,1801,366,613,
